Sn,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,imdb_score,budget,gross,profit_percent,Hit/Flop
848,The Equalizer,Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,Action|Crime|Thriller,7.2,55000000,101530738,0.846013418,HIT
849,Maid in Manhattan,Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy|Drama|Romance,5.1,55000000,93815117,0.7057294,HIT
850,Crimson Tide,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action|Drama|Thriller|War,7.3,53000000,91400000,0.724528302,HIT
851,The Pursuit of Happyness,Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,Biography|Drama,8,55000000,162586036,1.956109745,HIT
852,Flightplan,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama|Mystery|Thriller,6.2,55000000,89706988,0.631036145,HIT
853,Disclosure,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,Drama|Thriller,6,55000000,83000000,0.509090909,HIT
854,City of Angels,Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,Drama|Fantasy|Romance,6.7,55000000,78745923,0.431744055,HIT
855,Kill Bill: Vol. 1,Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,8.1,30000000,70098138,1.3366046,HIT
856,Bowfinger,Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,6.4,55000000,66365290,0.206641636,HIT
858,Kill Bill: Vol. 2,Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action|Crime|Drama|Thriller,8,30000000,66207920,1.206930667,HIT
859,Tango & Cash,Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action|Comedy|Crime|Thriller,6.3,55000000,63408614,0.152883891,HIT
860,Death Becomes Her,Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy|Fantasy|Horror,6.4,55000000,58422650,0.06223,HIT
861,Shanghai Noon,Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action|Adventure|Comedy|Western,6.6,55000000,56932305,0.035132818,HIT
862,Executive Decision,Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action|Adventure|Thriller,6.4,55000000,68750000,0.25,HIT
863,Mr. Popper's Penguins,Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Comedy|Family|Fantasy,6,55000000,68218041,0.240328018,HIT
864,The Forbidden Kingdom,Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,Action|Adventure|Fantasy,6.6,55000000,25040293,-0.544721945,FLOP
865,Free Birds,Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,Adventure|Animation|Comedy|Family,5.9,55000000,55747724,0.013594982,HIT
866,Alien 3,David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,Action|Horror|Sci-Fi,6.4,50000000,55473600,0.109472,HIT
867,Evita,Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography|Drama|History|Musical,6.3,55000000,49994804,-0.091003564,FLOP
868,Ronin,John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action|Adventure|Crime|Thriller,7.3,55000000,41609593,-0.243461945,FLOP
869,The Ghost and the Darkness,Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,Adventure|Drama|Horror|Thriller,6.8,55000000,38553833,-0.299021218,FLOP
870,Paddington,Paul King,Julie Walters,Matt Lucas,Sally Hawkins,Animation|Comedy|Family|Fantasy,7.2,55000000,76137505,0.384318273,HIT
871,The Watch,Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt,Action|Comedy|Sci-Fi,5.7,68000000,34350553,-0.494844809,FLOP
872,The Hunted,William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,Action|Crime|Drama|Thriller,6,55000000,34238611,-0.3774798,FLOP
873,Instinct,Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,Drama|Thriller,6.5,55000000,34098563,-0.380026127,FLOP
874,Stuck on You,Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy,5.8,55000000,33828318,-0.384939673,FLOP
875,Semi-Pro,Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,Comedy|Sport,5.8,55000000,33472850,-0.391402727,FLOP
876,The Pirates! Band of Misfits,Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,Adventure|Animation|Comedy|Family,6.7,55000000,31051126,-0.435434073,FLOP
877,Changeling,Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime|Drama|Mystery|Thriller,7.8,55000000,35707327,-0.350775873,FLOP
878,Chain Reaction,Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action|Drama|Sci-Fi|Thriller,5.6,50000000,20550712,-0.58898576,FLOP
879,The Fan,Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,Action|Drama|Sport|Thriller,5.8,55000000,18573791,-0.662294709,FLOP
880,The Phantom of the Opera,Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,Drama|Musical|Romance|Thriller,7.4,70000000,51225796,-0.268202914,FLOP
881,Elizabeth: The Golden Age,Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Biography|Drama|History|War,6.9,55000000,16264475,-0.704282273,FLOP
882,Æon Flux,Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action|Sci-Fi,5.5,62000000,25857987,-0.582935694,FLOP
883,Gods and Generals,Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,Drama|History|War,6.3,56000000,12870569,-0.770168411,FLOP
884,Turbulence,Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action|Thriller,4.7,71000000,11466088,-0.838505803,FLOP
885,Imagine That,Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,Comedy|Drama|Family|Fantasy,5.6,55000000,16088610,-0.707479818,FLOP
886,Muppets Most Wanted,James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,Adventure|Comedy|Crime|Family|Musical,6.4,50000000,51178893,0.02357786,HIT
887,Thunderbirds,Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action|Adventure|Comedy|Family|Sci-Fi,4.2,57000000,6768055,-0.881262193,FLOP
888,Burlesque,Steve Antin,Eric Dane,Peter Gallagher,David Walton,Drama|Music|Musical|Romance,6.4,55000000,39440655,-0.282897182,FLOP
889,A Very Long Engagement,Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,Drama|Mystery|Romance|War,7.7,47000000,6167817,-0.868769851,FLOP
892,Blade II,Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action|Horror|Sci-Fi|Thriller,6.7,54000000,81645152,0.511947259,HIT
893,Seven Pounds,Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,Drama|Romance,7.7,55000000,69951824,0.271851345,HIT
894,Bullet to the Head,Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,Action|Thriller,5.7,55000000,9483821,-0.827566891,FLOP
895,The Godfather: Part III,Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,Crime|Drama,7.6,54000000,66676062,0.234741889,HIT
896,Elizabethtown,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,Comedy|Drama|Romance,6.4,57000000,26838389,-0.52915107,FLOP
897,"You, Me and Dupree",Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,Comedy|Romance,5.6,54000000,75604320,0.40008,HIT
898,Superman II,Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,Action|Adventure|Romance|Sci-Fi,6.8,54000000,108200000,1.003703704,HIT
899,Gigli,Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,Comedy|Crime|Romance,2.4,54000000,5660084,-0.89518363,FLOP
900,All the King's Men,Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,Drama|Thriller,6.2,55000000,7221458,-0.868700764,FLOP
901,Shaft,John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,Action|Crime|Thriller,5.9,46000000,70327868,0.528866696,HIT
902,Anastasia,Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,7.1,50000000,58297830,0.1659566,HIT
903,Moulin Rouge!,Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,Drama|Musical|Romance,7.6,52500000,57386369,0.093073695,HIT
904,Domestic Disturbance,Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,Crime|Mystery|Thriller,5.5,53000000,45207112,-0.147035623,FLOP
905,Black Mass,Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,Biography|Crime|Drama,7,53000000,62563543,0.180444208,HIT
906,Flags of Our Fathers,Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,Drama|History|War,7.1,90000000,33574332,-0.626951867,FLOP
907,Law Abiding Citizen,F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,Crime|Drama|Thriller,7.4,50000000,73343413,0.46686826,HIT
908,Grindhouse,Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,Action|Horror|Thriller,7.6,53000000,25031037,-0.527716283,FLOP
909,Beloved,Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,Drama|History|Horror,5.9,55000000,22843047,-0.584671873,FLOP
910,Lucky You,Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Drama|Romance|Sport,5.9,55000000,5755286,-0.895358436,FLOP
911,Catch Me If You Can,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,Biography|Crime|Drama,8,52000000,164435221,2.162215788,HIT
912,Zero Dark Thirty,Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,Drama|History|Thriller,7.4,40000000,95720716,1.3930179,HIT
913,The Break-Up,Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,Comedy|Drama|Romance,5.8,52000000,118683135,1.282367981,HIT
914,Mamma Mia!,Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,Comedy|Family|Musical|Romance,6.3,52000000,143704210,1.7635425,HIT
915,Valentine's Day,Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,Comedy|Romance,5.7,52000000,110476776,1.124553385,HIT
916,The Dukes of Hazzard,Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,Action|Adventure|Comedy,5.1,50000000,80270227,0.60540454,HIT
917,The Thin Red Line,Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,Drama|War,7.6,52000000,36385763,-0.300273788,FLOP
918,The Change-Up,David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,Comedy|Fantasy,6.4,52000000,37035845,-0.287772212,FLOP
919,Man on the Moon,Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,Biography|Comedy|Drama,7.4,52000000,34580635,-0.334987788,FLOP
920,Casino,Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,Biography|Crime|Drama,8.2,52000000,42438300,-0.183878846,FLOP
921,From Paris with Love,Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Action|Thriller,6.5,52000000,23324666,-0.551448731,FLOP
922,Bulletproof Monk,Paul Hunter,Jaime King,Mako,Victoria Smurfit,Action|Comedy|Fantasy,5.5,52000000,23020488,-0.557298308,FLOP
923,"Me, Myself & Irene",Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,Comedy,6.5,51000000,90567722,0.775837686,HIT
924,Barnyard,Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,Animation|Comedy|Family,5.6,51000000,72601713,0.423563,HIT
926,The Twilight Saga: New Moon,Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure|Drama|Fantasy|Romance,4.6,50000000,296623634,4.93247268,HIT
927,Shrek,Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,Adventure|Animation|Comedy|Family|Fantasy,7.9,60000000,267652016,3.460866933,HIT
928,The Adjustment Bureau,George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,Romance|Sci-Fi|Thriller,7.1,50200000,62453315,0.24408994,HIT
929,Robin Hood: Prince of Thieves,Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,Action|Adventure|Drama|Romance,6.9,48000000,165500000,2.447916667,HIT
930,Jerry Maguire,Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,Comedy|Drama|Romance|Sport,7.3,50000000,153620822,2.07241644,HIT
931,Ted,Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,Comedy|Fantasy,7,50000000,218628680,3.3725736,HIT
932,As Good as It Gets,James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,Comedy|Drama|Romance,7.7,50000000,147637474,1.95274948,HIT
933,Patch Adams,Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,Biography|Comedy|Drama|Romance,6.7,50000000,135014968,1.70029936,HIT
934,Anchorman 2: The Legend Continues,Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,Comedy,6.3,50000000,2175312,-0.95649376,FLOP
935,Mr. Deeds,Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,Comedy|Romance,5.8,50000000,126203320,1.5240664,HIT
936,Super 8,J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,Mystery|Sci-Fi|Thriller,7.1,50000000,126975169,1.53950338,HIT
937,Erin Brockovich,Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,Biography|Drama,7.3,52000000,125548685,1.414397788,HIT
938,How to Lose a Guy in 10 Days,Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,Comedy|Romance,6.4,50000000,105807520,1.1161504,HIT
939,22 Jump Street,Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,Action|Comedy|Crime,7.1,50000000,191616238,2.83232476,HIT
940,Interview with the Vampire: The Vampire Chronicles,Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,Drama|Fantasy|Horror,7.6,60000000,105264608,0.754410133,HIT
941,Yes Man,Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,Comedy|Romance,6.8,70000000,97680195,0.395431357,HIT
942,Central Intelligence,Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,Action|Comedy|Crime,6.6,50000000,126088877,1.52177754,HIT
943,Stepmom,Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,Comedy|Drama,6.7,50000000,91030827,0.82061654,HIT
944,Daddy's Home,Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,Comedy|Family,6.1,50000000,150315155,2.0063031,HIT
945,Into the Woods,Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,Adventure|Comedy|Drama|Fantasy|Musical,6,50000000,127997349,1.55994698,HIT
946,Inside Man,Spike Lee,Denzel Washington,James Ransone,Peter Gerety,Crime|Drama|Mystery|Thriller,7.6,45000000,88504640,0.966769778,HIT
947,Payback,Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,Action|Crime|Drama|Thriller,7.1,50000000,81517441,0.63034882,HIT
948,Congo,Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,Action|Adventure|Mystery|Sci-Fi,5,50000000,81022333,0.62044666,HIT
950,Knowing,Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Drama|Mystery|Sci-Fi|Thriller,6.2,50000000,79948113,0.59896226,HIT
951,Failure to Launch,Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,Comedy|Romance,5.6,50000000,88658172,0.77316344,HIT
953,"Crazy, Stupid, Love.",Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,Comedy|Drama|Romance,7.4,50000000,84244877,0.68489754,HIT
954,Garfield,Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,Animation|Comedy|Family|Fantasy,5,35000000,75367693,1.153362657,HIT
955,Christmas with the Kranks,Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,Comedy|Family,5.2,60000000,73701902,0.228365033,HIT
956,Moneyball,Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,Biography|Drama|Sport,7.6,50000000,75605492,0.51210984,HIT
957,Outbreak,Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,Action|Drama|Thriller,6.6,50000000,67823573,0.35647146,HIT
958,Non-Stop,Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,Action|Mystery|Thriller,7,50000000,91439400,0.828788,HIT
959,Race to Witch Mountain,Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,5.7,65000000,67128202,0.032741569,HIT
960,V for Vendetta,James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,Action|Drama|Thriller,8.2,54000000,70496802,0.305496333,HIT
961,Shanghai Knights,David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,Action|Adventure|Comedy,6.2,50000000,60470220,0.2094044,HIT
963,Curious George,Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,Adventure|Animation|Comedy|Family,6.6,50000000,58336565,0.1667313,HIT
964,Herbie Fully Loaded,Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,Adventure|Comedy|Family|Fantasy|Romance|Sport,4.7,50000000,66002004,0.32004008,HIT
965,Don't Say a Word,Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,Crime|Drama|Mystery|Thriller,6.3,50000000,54997476,0.09994952,HIT
966,Hansel & Gretel: Witch Hunters,Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,Action|Fantasy|Horror,6.1,50000000,55682070,0.1136414,HIT
967,Unfaithful,Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,Drama|Thriller,6.7,50000000,52752475,0.0550495,HIT
968,I Am Number Four,D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,Action|Adventure|Sci-Fi|Thriller,6.1,60000000,55092830,-0.081786167,FLOP
969,Syriana,Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,Drama|Thriller,7,50000000,50815288,0.01630576,HIT
970,13 Hours,Michael Bay,Toby Stephens,James Badge Dale,David Costabile,Action|Drama|Thriller|War,7.4,50000000,52822418,0.05644836,HIT
971,The Book of Life,Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,Adventure|Animation|Comedy|Family|Fantasy|Romance,7.3,50000000,50150619,0.00301238,HIT
972,Firewall,Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,Crime|Thriller,5.8,50000000,48745150,-0.025097,FLOP
973,Absolute Power,Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,Action|Crime|Drama|Thriller,6.7,50000000,50007168,0.00014336,HIT
974,G.I. Jane,Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,Action|Drama|War,5.8,50000000,48154732,-0.03690536,FLOP
975,The Game,David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,Drama|Mystery|Thriller,7.8,50000000,48265581,-0.03468838,FLOP
976,Silent Hill,Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,Adventure|Horror|Mystery,6.6,50000000,46982632,-0.06034736,FLOP
977,The Replacements,Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,Comedy|Sport,6.5,50000000,44737059,-0.10525882,FLOP
978,American Reunion,Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Comedy,6.7,50000000,56724080,0.1344816,HIT
979,The Negotiator,F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,Action|Crime|Drama|Mystery|Thriller,7.3,50000000,44484065,-0.1103187,FLOP
980,Into the Storm,Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Action|Thriller,5.8,50000000,47553512,-0.04892976,FLOP
981,Beverly Hills Cop III,John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,Action|Comedy|Crime|Thriller,5.5,55000000,42610000,-0.225272727,FLOP
982,Gremlins 2: The New Batch,Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,Comedy|Fantasy|Horror,6.3,50000000,41482207,-0.17035586,FLOP
983,The Judge,David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,Crime|Drama,7.4,50000000,47105085,-0.0578983,FLOP
984,The Peacemaker,Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Action|Thriller,5.9,50000000,41256277,-0.17487446,FLOP
985,Resident Evil: Apocalypse,Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,Action|Horror|Sci-Fi|Thriller,6.2,45000000,50740078,0.127557289,HIT
986,Bridget Jones: The Edge of Reason,Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,Comedy|Drama|Romance,5.9,40000000,40203020,0.0050755,HIT
987,Out of Time,Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,Crime|Drama|Romance|Thriller,6.5,50000000,40905277,-0.18189446,FLOP
988,On Deadly Ground,Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,Action|Adventure|Thriller,4.4,50000000,38590500,-0.22819,FLOP
989,The Adventures of Sharkboy and Lavagirl 3-D,Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,Action|Adventure|Family|Fantasy,3.5,50000000,39177541,-0.21644918,FLOP
990,The Beach,Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,Adventure|Drama|Thriller,6.6,50000000,39778599,-0.20442802,FLOP
991,Raising Helen,Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,Comedy|Drama|Romance,6,50000000,37486138,-0.25027724,FLOP
992,Ninja Assassin,James McTeigue,Shô Kosugi,Ben Miles,Rain,Action|Crime|Thriller,6.4,40000000,38105077,-0.047373075,FLOP
993,For Love of the Game,Sam Raimi,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,Drama|Romance|Sport,6.5,50000000,35168395,-0.2966321,FLOP
995,Striptease,Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,Comedy|Crime|Drama|Thriller,4.3,40000000,32800000,-0.18,FLOP
996,Marmaduke,Tom Dey,Emma Stone,Judy Greer,Steve Coogan,Comedy|Family,4.2,50000000,33643461,-0.32713078,FLOP
997,Hereafter,Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,Drama|Fantasy,6.5,50000000,32741596,-0.34516808,FLOP
998,Murder by Numbers,Barbet Schroeder,Ryan Gosling,Chris Penn,Agnes Bruckner,Crime|Mystery|Thriller,6.1,50000000,31874869,-0.36250262,FLOP
999,Assassins,Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,Action|Crime|Thriller,6.3,50000000,30306268,-0.39387464,FLOP
1000,Hannibal Rising,Peter Webber,Li Gong,Stephen Walters,Richard Brake,Crime|Drama|Thriller,6.2,50000000,27667947,-0.44664106,FLOP
1001,The Story of Us,Rob Reiner,Bruce Willis,Tim Matheson,Rita Wilson,Comedy|Drama|Romance,5.9,50000000,27067160,-0.4586568,FLOP
1002,The Host,Andrew Niccol,J.D. Evermore,Chandler Canterbury,Rachel Roberts,Action|Adventure|Romance|Sci-Fi|Thriller,5.9,40000000,26616999,-0.334575025,FLOP
1003,Basic,John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action|Crime|Drama|Mystery|Thriller,6.5,50000000,26536120,-0.4692776,FLOP
1004,Blood Work,Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action|Crime|Drama|Mystery|Thriller,6.4,50000000,26199517,-0.47600966,FLOP
1005,The International,Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Action|Crime|Drama|Mystery|Thriller,6.5,50000000,25450527,-0.49098946,FLOP
1006,Escape from L.A.,John Carpenter,Steve Buscemi,Valeria Golino,Michelle Forbes,Action|Adventure|Sci-Fi|Thriller,5.7,50000000,25407250,-0.491855,FLOP
1008,The Iron Giant,Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,8,70000000,23159305,-0.669152786,FLOP
1009,The Life Aquatic with Steve Zissou,Wes Anderson,Bill Murray,Anjelica Huston,Matthew Gray Gubler,Adventure|Comedy|Drama,7.3,50000000,24006726,-0.51986548,FLOP
1010,Free State of Jones,Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,Action|Biography|Drama|History|War,6.7,50000000,20389967,-0.59220066,FLOP
1011,The Life of David Gale,Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,Crime|Drama|Thriller,7.5,50000000,19593740,-0.6081252,FLOP
1012,Man of the House,Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,Action|Comedy,5.4,40000000,19118247,-0.522043825,FLOP
1013,Run All Night,Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,Action|Crime|Drama|Thriller,6.6,50000000,26442251,-0.47115498,FLOP
1014,Eastern Promises,David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,Crime|Mystery|Thriller,7.7,25000000,17114882,-0.31540472,FLOP
1015,Into the Blue,John Stockwell,Paul Walker,James Frain,Ashley Scott,Action|Adventure|Crime|Thriller,5.8,50000000,18472363,-0.63055274,FLOP
1016,The Messenger: The Story of Joan of Arc,Luc Besson,Paul Brooke,David Bailie,Rab Affleck,Adventure|Biography|Drama|History|War,6.4,390000000,14131298,-0.963765903,FLOP
1017,Your Highness,David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,Adventure|Comedy|Fantasy,5.6,49900000,21557240,-0.567991182,FLOP
1018,Dream House,Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,Drama|Mystery|Thriller,6,55000000,21283440,-0.613028364,FLOP
1019,Mad City,Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,Crime|Drama|Thriller,6.2,50000000,10556196,-0.78887608,FLOP
1020,Baby's Day Out,Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,Adventure|Comedy|Crime|Drama|Family,5.9,50000000,16671505,-0.6665699,FLOP
1021,The Scarlet Letter,Roland Joffé,Gary Oldman,Robert Duvall,Demi Moore,Drama|Romance,5.1,50000000,10400000,-0.792,FLOP
1022,Fair Game,Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography|Drama|Thriller,6.8,22000000,9528092,-0.566904909,FLOP
1024,Domino,Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,Action|Biography|Crime|Drama|Thriller,6,50000000,10137232,-0.79725536,FLOP
1025,Jade,William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,Crime|Drama|Thriller,5.1,50000000,9795017,-0.80409966,FLOP
1026,Gamer,Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,Action|Sci-Fi|Thriller,5.8,50000000,20488579,-0.59022842,FLOP
1027,Beautiful Creatures,Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Drama|Fantasy|Romance,6.2,60000000,19445217,-0.67591305,FLOP
